ID	Title	SortNum	PS	ProductNum	OldPriceEffective	OldPrice	OldPriceEB	OldPriceEBO	Price	PriceEB	PriceEBO	MU	LastUpdate	NewUpdate	NewUpdateEB	NewUpdateEBO	Effective	Comments	Vendor	Category	PUP	PMCompile	SellPriceOld	SKU	SellPrice	Attachments
82		1	Avery 5162 Label						$32.39			1.45	2013-09-25						Staples	Labels	No	No			$46.97	0
83		2	HP Brochure Paper 180g Glossy 8.5x11									1.45	2013-09-25						Staples	Paper	No	No			$0.00	0
84		10	Earplugs						$31.40			1	2013-10-21						Gregg Distributors	Safety	No	No		Max-1	$31.40	0
85		20	First aid kit						$31.57			1	2013-10-21						Gregg Distributors	Safety	No	No		F882N260	$31.57	0
86		170	Multi Purpose Cleaner 4l jug						$26.49			1	2013-10-21						Gregg Distributors	Cleaning	No	No		C26804	$26.49	0
87		180	Glass Cleaner						$17.82			1	2013-10-21						Gregg Distributors	Cleaning	No	No		CP006722	$17.82	0
88		30	Half Mask Respirator						$13.79			1	2013-10-21						Gregg Distributors	Safety	No	No		6200	$13.79	0
89		50	Respirator Cartridges Varnish						$16.05			1	2013-10-21					For use with formaldehyde and certain organic vapours.	Gregg Distributors	Safety	No	No		6005	$16.05	0
90		60	Respirator Cleaning Wipe									1	2013-10-21						Gregg Distributors	Safety	No	No		07065		0
91		80	P100 Disposable Respirator Asbestos						$13.58			1	2013-10-21						Gregg Distributors	Safety	No	No		8293	$13.58	0
92		40	Paslode Fuel Cell (12/case)						$9.95			1.45	2013-10-24						Prime Fasteners	Fasteners	No	No			$14.43	0
93		10	Paslode .12 x 3 1/4 smooth shank strip nails. 30 deg. (3000 bx)						$35.28			1.45	2013-10-24						Prime Fasteners	Fasteners	No	No			$51.16	0
94		80	Degreaser solvent gun cleaner						$11.50			1.45	2013-10-25						Prime Fasteners	Tool Maintenance	No	No			$16.68	0
95		50	Chalk 5lb Redline						$29.95			1.45	2013-10-25						Prime Fasteners	Marking and Measuring	No	No			$43.43	0
96		60	Chalk 5lb Blackline						$29.95			1.45	2013-10-25						Prime Fasteners	Marking and Measuring	No	No			$43.43	0
97		70	Wintergrade Gun Oil (16oz)						$10.00			1.45	2013-10-25						Prime Fasteners	Compressor Supplies	No	No			$14.50	0
98		10	R12 Fibreglass insulation contractor-15x47x3.5 (97.9 sqft)						$24.28			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes		800361	$35.21	0
99		20	R20 Fibreglass insulation space saver-15x47x6 (78.4 sqft)						$32.77			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$47.52	0
100		30	R20 Fibreglass insulation space saver-19x48x6 (99.4 sqft)						$41.55			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$60.25	0
101		40	R20 Fibreglass insulation space saver-23x47x6 (120 sqft)						$50.16			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$72.73	0
102		50	R28 Fibreglass ceiling insulation -16x48x8.5 (53.3 sqft)						$30.38			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$44.05	0
103		60	R28 Fibreglass ceiling insulation -23x48x8.5 (76.7 sqft)						$43.72			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$63.39	0
104		70	R28 Fibreglass ceiling insulation -24x48x8.5 (80 sqft)						$45.60			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$66.12	0
105		80	R40 Fibreglass ceiling insulation -24x48x10 3/8 (48 sqft)						$38.78			1.45	2013-10-28						Consolidated Gypsum	Insulation, poly and tape	No	Yes			$56.23	0
107		110	8ft 6mil poly CGSB 102in x 118ft (1000 sqft)						$45.00			1.45	2014-02-08						Consolidated Gypsum	Insulation, poly and tape	No	No			$65.25	0
108		120	9ft 6mil poly CGSB 114in x 106ft (1000 sqft)						$45.00			1.45	2014-02-08						Consolidated Gypsum	Insulation, poly and tape	No	No			$65.25	0
109		130	10ft 6mil poly CGSB 124in x 97ft (1000 sqft)						$45.00			1.45	2014-02-08						Consolidated Gypsum	Insulation, poly and tape	No	No			$65.25	0
110		140	12ft 6mil poly CGSB 144in x 100ft (1200 sqft)						$68.00			1.45	2014-02-08						Consolidated Gypsum	Insulation, poly and tape	No	No			$98.60	0
111		150	20ft 6mil poly CGSB 240in x 100ft (2000 sqft)						$90.00			1.45	2014-02-08						Consolidated Gypsum	Insulation, poly and tape	No	No			$130.50	0
112		1	Pot Light Poly Hat (via Park Lighting)									1.45	2013-10-28						Park Lighting	Insulation, poly and tape	No	No			$0.00	0
113		180	Lite Poly 8Ft 1500 SqFt Roll (1 mil)						$15.10			1.45	2014-02-08					For Service and General Construction	Consolidated Gypsum	Insulation, poly and tape	No	No			$21.90	0
