ID	Title	SortNum	PS	Vendor	PSSub	SubVendor	Quantity	Qnotes	ExpressionValue	Price	Subtotal	ExpressionValue2	Quantity2	QNotes2	Subtotal2	ExpressionValue3	Quantity3	QNotes3	LineTotal	Pup	PMCompile	Attachments
274		10	4ft sidewalk (Lineal Ft)	Stel Marr Concrete																No	No	0
152		10	Stair landings-total prep and place-EF	Custom Concrete Solutions Inc																No	No	0
312		10	Labour to install standard tub decking	Bartle and Gibson																No	No	0
147		10	Salvi seal concrete (sqft)	Custom Concrete Solutions Inc																No	No	0
207		10	Standard Duradeck deck	David Mills																No	No	0
299		10	Clad 4in trim (Complete cost)	Grey Bear Renovating																No	No	0
314		10	Additional steps carpeted	OMT Flooring																No	No	0
177		10	R10 Rimboard Cladding per ln ft	Igloo Building Supplies																No	No	0
24		21	12 inch pile	Waytec Enterprises																No	No	0
269		10	Perimeter concrete walls(9Ft from 8Ft)	Stel Marr Concrete																No	No	0
97		10	1x4 spruce	Igloo Building Supplies												*				No	No	0
98			Clad 4in trim (Complete cost)	Grey Bear Renovating																No	No	0
272		10	3ft sidewalk (Lineal Ft)	Stel Marr Concrete																No	No	0
178		10	Riser for landing up to 5ft-EF	Custom Concrete Solutions Inc																No	No	0
402		10	Strand Bamboo Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
396		10	Black Walnut Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
390		10	Stained Maple Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
394		10	Hickory Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
398		10	Stained Jatoba Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
392		10	Natural Maple Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
400		10	Bamboo Hardwood Floor	Salvi Homes	Prefinished flooring	1522219 Alberta Inc				$2.20	$2.20				$2.20				$2.20	No	No	0
424		10	Test calc	All Blades Canada Inc	"Sharpen set of 3 8"" HSS Jointer knives"	All Blades Canada Inc				$13.97	$13.97				$13.97				$13.97	No	No	0
74		10	Eldorado stone address post	Ancient Stone Works	Eldorado stone	Ancient Stone Works	18.66		*	$23.00	$429.18				$429.18				$429.18	No	No	0
76		10	Eldorado stone address post	Corsi Brothers Tile	Eldorado stone	Ancient Stone Works	18.66		*	$23.00	$429.18				$429.18				$429.18	No	No	0
65		10	Brick Craftsmen Column	Ancient Stone Works	Brick exterior facing	Ancient Stone Works	24		*	$18.00	$432.00	+	88		$520.00				$520.00	No	No	0
75		10	Brick address post	Corsi Brothers Tile	Brick exterior facing	Ancient Stone Works	18.66		*	$18.00	$335.88				$335.88				$335.88	No	No	0
66		10	Stone Craftsmen Column	Ancient Stone Works	Eldorado stone	Ancient Stone Works	24		*	$23.00	$552.00				$552.00				$552.00	No	No	0
64		10	Brick address post	Ancient Stone Works	Brick exterior facing	Ancient Stone Works	18.66		*	$18.00	$335.88				$335.88				$335.88	No	No	0
73		10	Brick Craftsmen Column	Ancient Stone Works	Angle iron	Ancient Stone Works	8		*	$11.00	$88.00				$88.00				$88.00	No	No	0
413		10	Tile trim (4040 neo shower)	Salvi Homes	3x6 Streamline series crisp white (6050136)	Centura	62	Exact Pieces	*	$0.45	$27.90	*	1.15	Waste	$32.09				$32.09	No	No	0
417		10	Tile trim (3636 neo shower)	Salvi Homes	3x6 Streamline series crisp white (6050136)	Centura	58	Exact Pieces	*	$0.45	$26.10	*	1.15	Waste	$30.02				$30.02	No	No	0
415		10	Tile trim (4836 shower)	Salvi Homes	3x6 Streamline series crisp white (6050136)	Centura	72	Exact Pieces	*	$0.45	$32.40	*	1.15	Waste	$37.26				$37.26	No	No	0
411		10	Tile trim (3636 shower)	Salvi Homes	3x6 Streamline series crisp white (6050136)	Centura	67	Exact Pieces	*	$0.45	$30.15	*	1.15	Waste	$34.67				$34.67	No	No	0
409		10	Tile trim (6036 tub/shower)	Salvi Homes	3x6 Streamline series crisp white (6050136)	Centura	76	Exact Pieces	*	$0.45	$34.20	*	1.15	Waste	$39.33				$39.33	No	No	0
307		10	Salvi V30 (Classic Oak)	Northgate Plumbing	Side splash-WE	Classic Woodcrafting				$30.58	$30.58				$30.58				$30.58	No	No	0
306		10	Salvi V30 (Classic Oak)	Northgate Plumbing	Standard tops with splash- WE	Classic Woodcrafting				$50.31	$50.31	*	4		$201.24				$201.24	No	No	0
300		10	Ironwood V30 (Classic Oak)	Northgate Plumbing	Standard tops with splash- SE	Classic Woodcrafting				$34.01	$34.01	*	4		$136.04				$136.04	No	No	0
301		10	Ironwood V30 (Classic Oak)	Northgate Plumbing	Side splash - SE	Classic Woodcrafting				$14.86	$14.86				$14.86				$14.86	No	No	0
367		10	OC Codeboard R10 (2in x 4ft x 8ft)	Consolidated Gypsum	Input Bundle>Codeboard Rigid XPS Foam 2x4x8 (type 4)	Consolidated Gypsum	0.031		*	$258.00	$8.00				$8.00				$8.00	No	No	0
366		10	OC Codeboard R7.5 (1.5in x 4ft x 8ft)	Consolidated Gypsum	Input Bundle>Codeboard Rigid XPS Foam 1.5x4x8 (type 4)	Consolidated Gypsum	0.1		*	$198.00	$19.80	*	1.5		$29.70				$29.70	No	No	0
365		10	OC Codeboard R5 (1in x 4ft x 8ft)	Consolidated Gypsum	Input Bundle>Codeboard Rigid XPS Foam 1.5x4x8 (type 4)	Consolidated Gypsum	0.1		*	$198.00	$19.80				$19.80				$19.80	No	No	0
364		10	OC Foamular C300 R10 (2in x 2ft x 8ft)	Consolidated Gypsum	Input Bundle>OC Foamular C300 Rigid XPS Foam (type 4)	Consolidated Gypsum	0.0361		*	$332.00	$11.99				$11.99				$11.99	No	No	0
363		10	OC Foamular C300 R7.5 (1.5in x 2ft x 8ft)	Consolidated Gypsum	Input Bundle>OC Foamular C300 Rigid XPS Foam (type 4)	Consolidated Gypsum	0.0522	16 per bundle	*	$332.00	$17.33				$17.33				$17.33	No	No	0
362		10	OC Foamular C200 R-5 (1in x 2ft x 8ft)	Consolidated Gypsum	Input Bundle>OC Foamular C200 Rigid XPS Foam (type 4)	Consolidated Gypsum	0.078		*	$306.00	$23.87				$23.87				$23.87	No	No	0
361		10	R40 Fibreglass ceiling insulation -24x48x10 3/8 (48 sqft)	Consolidated Gypsum	Input MSF>R40 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.048		*	$808.00	$38.78				$38.78				$38.78	No	No	0
360		10	R28 Fibreglass ceiling insulation -24x48x8.5 (80 sqft)	Consolidated Gypsum	Input MSF>R28 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.08		*	$570.00	$45.60				$45.60				$45.60	No	No	0
359		10	R28 Fibreglass ceiling insulation -23x48x8.5 (76.7 sqft)	Consolidated Gypsum	Input MSF>R28 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.0767		*	$570.00	$43.72				$43.72				$43.72	No	No	0
357		10	R20 Fibreglass insulation space saver-23x47x6 (120 sqft)	Consolidated Gypsum	Input MSF>R20 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.12		*	$418.00	$50.16				$50.16				$50.16	No	No	0
17		10	Sheetrock Water Resistant 1/2in (4x8)	Consolidated Gypsum	Input MSF> Moisture Resistant	Consolidated Gypsum				$542.00	$542.00	/	1000		$0.54	*	32		$17.34	No	No	0
356		10	R20 Fibreglass insulation space saver-19x48x6 (99.4 sqft)	Consolidated Gypsum	Input MSF>R20 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.0994		*	$418.00	$41.55				$41.55				$41.55	No	No	0
355		10	R20 Fibreglass insulation space saver-15x47x6 (78.4 sqft)	Consolidated Gypsum	Input MSF>R20 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.0784		*	$418.00	$32.77				$32.77				$32.77	No	No	0
354		10	R12 Fibreglass insulation contractor-15x47x3.5 (97.9 sqft)	Consolidated Gypsum	Input MSF>R12 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.0979		*	$248.00	$24.28				$24.28				$24.28	No	No	0
1		10	Sheetrock standard 1/2in (4x8)	Consolidated Gypsum	Input MSF>Drywall 1/2in light	Consolidated Gypsum				$272.00	$272.00	/	1000		$0.27	*	32		$8.70	No	No	0
358		10	R28 Fibreglass ceiling insulation -16x48x8.5 (53.3 sqft)	Consolidated Gypsum	Input MSF>R28 OC Pink Fibreglass Insulation	Consolidated Gypsum	0.0533		*	$570.00	$30.38				$30.38				$30.38	No	No	0
9		10	Sheetrock flexible board 1/4in (4x12)	Consolidated Gypsum	Input MSF>Drywall 1/4 flex	Consolidated Gypsum				$395.00	$395.00	/	1000		$0.40	*	48		$18.96	No	No	0
2		10	Sheetrock standard 1/2in (4x9)	Consolidated Gypsum	Input MSF>Drywall 1/2in light	Consolidated Gypsum				$272.00	$272.00	/	1000		$0.27	*	36		$9.79	No	No	0
3		10	Sheetrock standard 1/2in (4x10)	Consolidated Gypsum	Input MSF>Drywall 1/2in light	Consolidated Gypsum				$272.00	$272.00	/	1000		$0.27	*	40		$10.88	No	No	0
4		10	Sheetrock standard 1/2in (4x12)	Consolidated Gypsum	Input MSF>Drywall 1/2in light	Consolidated Gypsum				$272.00	$272.00	/	1000		$0.27	*	48		$13.06	No	No	0
5		10	Sheetrock standard 1/2in (4x14)	Consolidated Gypsum	Input MSF>Drywall 1/2in light	Consolidated Gypsum				$272.00	$272.00	/	1000	MSF	$0.27	*	56	square feet	$15.23	No	No	0
6		10	Sheetrock standard 1/2in (4ft 6in x 12ft)	Consolidated Gypsum	Input MSF>Drywall 1/2 54 x 12	Consolidated Gypsum				$364.00	$364.00	/	1000	MSF	$0.36	*	54	Square Feet	$19.66	No	No	0
19		10	Glasroc Water Resistant 5/8in (4x8)	Consolidated Gypsum	Input MSF> 5/8in Glasroc Resistant	Consolidated Gypsum				$775.00	$775.00	/	1000		$0.78	*	32		$24.80	No	No	0
8		10	Sheetrock flexible board 1/4in (4x8)	Consolidated Gypsum	Input MSF>Drywall 1/4 flex	Consolidated Gypsum				$395.00	$395.00	/	1000	MSF	$0.40	*	32	Sqft	$12.64	No	No	0
10		10	Sheetrock Fireguard Type X 5/8in (4x8)	Consolidated Gypsum	Input MSF>Drywall 5/8 type x	Consolidated Gypsum				$364.00	$364.00	/	1000		$0.36	*	32		$11.65	No	No	0
16		10	Sheetrock ceiling board 1/2in (4x12)	Consolidated Gypsum	Input MSF>Drywall 1/2 cd	Consolidated Gypsum				$359.00	$359.00	/	1000	MSF	$0.36	*	48	Sq Ft	$17.23	No	No	0
12		10	Sheetrock Fireguard Type X 5/8in (4x9)	Consolidated Gypsum	Input MSF>Drywall 5/8 type x	Consolidated Gypsum				$364.00	$364.00	/	1000		$0.36	*	36		$13.10	No	No	0
13		10	Sheetrock Fireguard Type X 5/8in (4x12)	Consolidated Gypsum	Input MSF>Drywall 5/8 type x	Consolidated Gypsum				$364.00	$364.00	/	1000		$0.36	*	48		$17.47	No	No	0
14		10	CGC Durock cement board (3x5)	Consolidated Gypsum	Input MSF>Cement Board	Consolidated Gypsum				$1,255.00	$1,255.00	/	1000		$1.26	*	15		$18.83	No	No	0
15		10	CGC Durock cement board (4x8)	Consolidated Gypsum	Input MSF>Cement Board	Consolidated Gypsum				$1,255.00	$1,255.00	/	1000		$1.26	*	32		$40.16	No	No	0
11		10	Sheetrock Fireguard Type X 5/8in (4x10)	Consolidated Gypsum	Input MSF>Drywall 5/8 type x	Consolidated Gypsum				$364.00	$364.00	/	1000		$0.36	*	40		$14.56	No	No	0
18		10	Glasroc Water Resistant 1/2in (4x8)	Consolidated Gypsum	Input MSF> 1/2in Glasroc Resistant	Consolidated Gypsum	1		*	$715.00	$715.00	/	1000		$0.72	*	32		$22.88	No	No	0
7		10	Sheetrock ceiling board 1/2in (4x14)	Consolidated Gypsum	Input MSF>Drywall 1/2 cd	Consolidated Gypsum				$359.00	$359.00	/	1000		$0.36	*	56		$20.10	No	No	0
316		10	Beach pebbles stone floor upcharge	Corsi Brothers Tile	Extra for diagonal installation	Corsi Brothers Tile				$0.70	$0.70				$0.70				$0.70	No	No	0
